"filename", "language", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\Eswar\Desktop\Final\client\src\App.css", "CSS", 28, 0, 0, 0, 1, 29
"c:\Users\Eswar\Desktop\Final\client\src\App.js", "JavaScript", 0, 199, 0, 0, 20, 219
"c:\Users\Eswar\Desktop\Final\client\src\components\Cards.js", "JavaScript", 0, 91, 0, 0, 3, 94
"c:\Users\Eswar\Desktop\Final\client\src\components\Navbar.js", "JavaScript", 0, 48, 0, 1, 6, 55
"c:\Users\Eswar\Desktop\Final\client\src\components\Sidebar.js", "JavaScript", 0, 68, 0, 0, 5, 73
"c:\Users\Eswar\Desktop\Final\client\src\components\svgs\HomeSvg.js", "JavaScript", 0, 4175, 0, 0, 3, 4178
"c:\Users\Eswar\Desktop\Final\client\src\components\svgs\LoginSvg.js", "JavaScript", 0, 2892, 0, 0, 3, 2895
"c:\Users\Eswar\Desktop\Final\client\src\components\svgs\RegSvg.js", "JavaScript", 0, 2163, 0, 0, 3, 2166
"c:\Users\Eswar\Desktop\Final\client\src\components\svgs\ReportSvg.js", "JavaScript", 0, 5054, 0, 0, 3, 5057
"c:\Users\Eswar\Desktop\Final\client\src\index.css", "CSS", 11, 0, 0, 0, 3, 14
"c:\Users\Eswar\Desktop\Final\client\src\index.js", "JavaScript", 0, 24, 0, 0, 2, 26
"c:\Users\Eswar\Desktop\Final\client\src\logo.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\Eswar\Desktop\Final\client\src\pages\Landing.js", "JavaScript", 0, 61, 0, 0, 2, 63
"c:\Users\Eswar\Desktop\Final\client\src\pages\Login.js", "JavaScript", 0, 87, 0, 0, 8, 95
"c:\Users\Eswar\Desktop\Final\client\src\pages\Register.js", "JavaScript", 0, 339, 0, 0, 10, 349
"c:\Users\Eswar\Desktop\Final\client\src\pages\dashboard\DashboardNav.js", "JavaScript", 0, 16, 0, 0, 2, 18
"c:\Users\Eswar\Desktop\Final\client\src\pages\dashboard\Profile.js", "JavaScript", 0, 217, 0, 0, 6, 223
"c:\Users\Eswar\Desktop\Final\client\src\pages\dashboard\Progress.js", "JavaScript", 0, 88, 0, 0, 6, 94
"c:\Users\Eswar\Desktop\Final\client\src\pages\dashboard\UserOrders.js", "JavaScript", 0, 59, 0, 0, 4, 63
"c:\Users\Eswar\Desktop\Final\client\src\pages\dashboard\WorkOrder.js", "JavaScript", 0, 158, 0, 2, 6, 166
"Total", "-", 39, 15739, 1, 3, 96, 15878